Annee,Victimes Femmes,Victimes Hommes
2006,148,29
2007,179,29
2008,168,28
2009,151,26
2010,157,33
2012,166,31
2013,129,30
2014,134,31
2015,122,22
2016,123,34
2017,130,21
2018,121,28
2019,146,27
2020,102,23













